tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,trqBxu_PqMDOLI63ffqhJsNJFj3Go2_uLnN3_6jXhBoAIbY,CS놓치면근손실,861,1263,1204,False,False,False,True
GRANDMASTER,kVO6dHmrwwQibX6ev4yTR_J1tPcUU-40D8rS-N_7Cfq3x0s,juhan1,846,703,584,False,False,True,False
GRANDMASTER,mAAVRhqPYImyNIFuwv5adTCY2vDB8AmlRgSm6Bz7nzpHAxo,콩알벌래,842,512,448,False,False,True,False
GRANDMASTER,xZqoPShP4ZQaBrLjab8kP9UjaIVAvmhzQ-jqOzVPrP84RNE,PRG Fnb,840,262,190,False,False,True,True
GRANDMASTER,Yz3GXnhwJXJ03aMLJFsT3aJwJ0-iYQ4ZYeiND1sP2S8sbg,eren헌터,831,930,878,False,False,True,False
GRANDMASTER,lKwzBJULPNfWOmvhSKREW3vsQVRKCfCJrB4BgBVqfPjGaAQ,밀레니엄베이베,828,419,315,False,False,True,False
GRANDMASTER,FrBMNxlKRFMVGfMiAlxLcYeePbDuunRgAKB_1XGJF2B028E,wohennangu0,827,313,218,False,False,True,False
GRANDMASTER,hrYN0FSsIyix3HucQpyJPn2GHU7InRFEIfD-D4Xj8iUohw,Wilder 90Days,818,711,680,False,False,True,False
GRANDMASTER,M98ae2wgVrCgb3j7zKedszdk0cvOrrukb2bjJdFTsTkY3LI,DRX Rage,810,312,213,True,False,False,False
GRANDMASTER,vCkABMM_KEiNZcMKF5fkD3cfT0Wn8DOUpU9wh9blJniIbBA,caihongdao,807,700,587,True,False,False,False
GRANDMASTER,v3T6Kk2dUP6qKmXJE19Hi70xq5YRIgsKItIhCzSFTbmbKH8,쭌베 엄마,804,686,645,False,False,True,False
GRANDMASTER,quY6FNeksaAHB0j1MRpWOswK3DhxQtaDKXxtYIOra0NOf54,노력하다,797,284,175,False,False,True,False
GRANDMASTER,prjs7HzfWF3UOgZ9n8QDv3gHjLNSks718XTN8MVQdbb2o3c,정훈이의 모험,797,525,460,False,False,True,False
GRANDMASTER,T8cileGs1YR02qyddVEzn6Zlewyq5nkP_JAYMKULJhvoIEE,BRION Jiin,794,1360,1295,False,False,True,False
GRANDMASTER,EQwdgRlOAXP7e5LvRdJKJQxuJAljLnLdb9arhGR3uBNm8i0,feng ji xu chui,794,557,438,False,False,False,True
GRANDMASTER,kgs8nN1tKy1YP8LjPrGGjoGvcfyNDYCLzC-3Aof020FoqVs,adad0,794,551,438,False,False,False,False
