tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,pi2fs90ho4EBdHcZP-64M04m75p9qdsipI57-sp1YFhSvyo,전설의용사박위림,509,717,711,False,False,True,False
MASTER,4ekn1fC7aI6ywT14DViJISL8MSQ9POIr0TxzOVj2rsVRPD8,C9 k1ng,483,72,37,False,False,True,False
MASTER,npvdegUTqmBWbJ4zUa2q8UIlavBISZvaxTLGR4a3VpSqLFU,Lego77,478,351,259,False,False,True,False
MASTER,djLXa7-sbWTibWepGvLHapbVxWkPdCbX7JLYuR6A-3gfZw,eimifukadaaa,461,240,181,True,False,False,False
MASTER,RKy6GqDOYXL9OWKMTta7rAgFt3dbKd8ktK9xb2jEOsDnhjM,팽도리0114,458,430,373,False,False,False,False
MASTER,1VFBJk9cTFQHrOzkckeFjhC39hZBBiluMVm-J9hel-8XRN8,laowu,454,288,202,False,False,True,False
MASTER,xWu9Mez_MLsq_3v-Ipg1OEvWAi0o_ZuFwMM99_BQe0A-NlI,나는 노인이다,449,730,629,True,False,False,False
MASTER,EDa_ji-tEW662R4Q11nhhJszsliOIelY3ktTslqNFGX-VAo,라멜마끼아또아,448,610,598,False,False,True,False
MASTER,CKIeNKMVIqNiSJ21yujY45l3ZY_dZJb01cFLGuI0P-h4i8M,달짝지근하다,446,465,389,False,False,True,True
MASTER,EErNkyQmYri_IMhvR3VSIoprMuD3ewosgGpTeSHAUflW_As,Mocha,441,840,855,False,False,True,False
MASTER,FyHfLVzx8Sei2I5xQ26Ek3ambtwU7D5QfiQUbpGztUQNWCQ,23232333,437,264,228,False,False,True,False
MASTER,i_Zs0OksyItovWNZK3BPzds6ydGCwFlGoss4wHxrsRZqsw,Let start it up,435,228,199,False,False,True,True
MASTER,awbxQPUXLnf9UrkM37dFprc5eakUW7mRMaf9p2QIaQsssjQ,Autumm,418,283,197,False,False,True,True
MASTER,w4m6bVWYCN9Un8eU16pN-XD9bmNpkkgB_H4BHGyNL9j5qIA,하 멘탈이 터진다,417,822,798,False,False,True,True
MASTER,pvbmi0nncUUNUGgkJB1eWBFchapZnfXhmk6DC7fGUEgJpxY,군밤군밤,417,282,216,False,False,False,True
MASTER,fYZkkQD88061YE-rNrpmLa5QBcLpQYT9h2doKJFVkZG-WLE,wardboy,416,373,315,True,False,False,True
MASTER,5T-aWq5cpQeuc_6vNpbO29VYrPNyZEVro-WfvI42xNwjvy0,진지하게 대하다,414,533,441,False,False,True,False
MASTER,F3oZ7qyLpp33KlBRm0ZKeFpuSlf4YMvAQpaCqmevZsnD8Is,한바다숏다리,414,659,621,False,False,True,False
MASTER,z7zlMvdgbj1BJyz1SxkS7wrpHkGf5GKUV0sY2IrlMEtUqV0,whisper snow,413,1021,1007,False,False,True,False
MASTER,sFG4YXGH9aE-T6tL5TnNtaJowQXXgKyVCiMzAMMF-IZQnQ,bu pen ren,409,1294,1257,False,False,True,True
MASTER,OrW9XGthyQckbI1zGM71qY5ld34PHJ2-edq3Agfmgt9hag,Itsokwillbefine,407,1121,1069,False,False,True,True
MASTER,13KZweRgW3vh4kaw2FqtnEdZ7EEp7jnUSHuE7Kc2QT8EhF8,52181,406,381,265,True,False,False,True
MASTER,WkV3HwakdLg2wvxekSJlumqX26tiE_mKB3Q5FHxQv07fqPs,율천고 최현우,405,236,231,True,False,False,False
MASTER,vpZz7bRPTdb2ApZSeiKU4e8qtvC-yambbfOyfbgMC3fzp20,Gen G gyuvee,404,1251,1225,False,False,False,True
MASTER,3Cq6AfR34qPZPNRIyM9fB7sn23l-Rfriz28YNEIhjfTwa_E,BAY헌터,403,565,490,True,False,False,False
MASTER,YaNIidPOlG42ieOBUUKK6LtRqGUzMTHrchdsU-CyzIsOWc8,마나가적음,403,464,410,False,False,True,False
MASTER,h_qMsG1bjnvpL5h-L0XfU3Yr3KKPOf1VNdiJQDa9Jp94nKQ,하 퀸,402,394,344,False,False,True,False
MASTER,QFSeUTUfkto1gq6YwXz8CUmmyTn8Ld5BSeZkgsHmWggaDdY,원일2,402,279,203,False,False,True,True
MASTER,azEzroKWDrWd3SZJaP8UefTvze04HD4Bl_dotz_lXsz9lA,공찬박,402,164,122,False,False,True,True
MASTER,V00E9pbDphqnkfx-5WPc9N5I4ijkqVtqZXXZN5bgxaFd6jo,Huya ZhangSR,402,271,189,False,False,True,True
MASTER,0lzlgiHcTjIu9Y-tsekYntqWkg9J5_tXjGCoKQbbEHm5Zww,Heart22,402,817,765,False,False,True,False
MASTER,4QYXGy1JFUKU1Npy-CWRqYckoT598BrDNPLgCZeQwdAAWnw,zoe fan,401,256,209,False,False,True,True
MASTER,nOxrVlN5HklHFiPC4We8s0a94zzHtPAvfV_UrN7mT5vOJLU,PAKA fans,401,1092,1078,False,False,True,False
MASTER,EPSyFQ-NlL8mkF3hg_7qN8Z8qpVBAotK_ntkEaPdPzrgvro,수영이 남자친구,401,79,60,False,False,True,True
MASTER,-K9nHaJdB2NdFynezFg8zfz8lngCoCvh__3bTVljW9Z2_F0,빵속에 순우유,401,802,766,False,False,True,False
MASTER,RAS4l2i-gqwh3pOd8zmSh3n6cChDxQSx0JBhYrLQenUrfI4,룬 곰,401,87,70,False,False,True,False
MASTER,ASfVRRwdneTdEvDoY51PGiqZMAw7OYShE9z1VgOq4L3NTdU,김주동생,401,375,307,True,False,False,True
MASTER,v02taApD01-Ba2rvqLBjeIAH33dYjUnLh4-qyPanBzutLr8,LaoLiu,401,982,991,True,False,False,False
MASTER,ZXJ92D6wprfYMf13GStSl9WlNMM8HlWPbW1TxmuXWrZ0IQ,GARANDO,400,387,320,False,False,True,False
