tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,7Rt7XJnh6hbn9RWeycSpltN5m3kkJRsOWmvI6I8FlGVoBaY,Cuzz,1589,410,239,True,False,False,True
CHALLENGER,qaebfV2Fbs671SU7yXsMGUW4tKO7___0SB5F2cDzTkBtRgg,Doxxx,1577,776,668,True,False,False,True
CHALLENGER,aUGumyTTxKAcs9mZjoy615CIfbYS4YDJsi0HJBsYV1QA_Vw,Kanavi,1497,391,264,True,False,False,True
CHALLENGER,19RhZA0GnIydvEz1anyXCuNlbOrcxL65i3DAuvbULwE4w2A,kk9qwq,1465,730,543,True,False,False,False
CHALLENGER,PkvxowM4v22_iZAMygW_iIIle7CmHA1G1gMHXQIuRy6syg,소나잔나,1446,366,231,True,False,False,False
CHALLENGER,YLf193UA0SfeRbDopwjy-XYKk0WMqzW4mJT-9qJqgFBMX7M,Gen G Ruler,1441,920,734,True,False,False,True
CHALLENGER,bLqr5bY_obLlZ0XvBEH9uh3iVq2MKJ9AXWWYd2WuGc9Ol4U,오뚜기3분미트볼,1436,540,444,True,False,False,False
CHALLENGER,8lmn38D0v6hpgoT98ihxixvgOITCxXRnH6YM_l-tiXuyioo,T1 Gumayusi,1427,680,600,True,False,False,False
CHALLENGER,l9lGtiprpfVW71uHK455W8NnF1tquvbKeOg16Va220G1J_A,DRX 솔카,1372,460,411,True,False,False,False
CHALLENGER,hLNxojqyvFQOSEFp6QfylHvs1U9bRzfotMbmTebInYv5_Jo,SANDBOX Dove,1340,580,528,True,False,False,False
CHALLENGER,Eku50LT0TDY61_BsqKMv0cxE26PQGcZLUiSuNxuGmTQ2JCs,메리오다스 반 ,1336,1539,1449,True,False,False,False
CHALLENGER,k74fOxhZOK9D-Sa8fBRP0ETnLNqNbCgUnpF6hNB-QxL9pLE,둥근해가떡섭니다,1331,560,458,True,False,False,False
CHALLENGER,4_iXKwZwwMrHwCkOm9inMNJAsaP3GopyQiJJDVfVBiAtuJk,SANDBOX OnFleek,1327,649,597,True,False,False,False
CHALLENGER,MnONI64pvjNopuwRVVW2Ivtkd9r2jLaD6S5NGCIgg8CU-4M,Morgan5358,1326,633,608,True,False,False,False
CHALLENGER,yXKJlBXoswyS5-jRpsi8miJ1s3otViPlXvH0GFmJmFNLz7o,Kingen,1317,981,912,True,False,False,False
CHALLENGER,0gtE4cKeR6t7eMU5gfRbRElZvN7lG-MqxFL_l-ZpTAoKl1A,오리지널찰떡쿠키,1314,356,271,True,False,False,False
CHALLENGER,asN17xF0tOoSQjkNRI7k358BDDXcjDwZBW0q_Ulf2GVDkqQ,skt t1 le0,1312,706,626,True,False,False,True
CHALLENGER,1MdcAKCJDzOTjP4hLTYYvxQGmJ0faye0rB7Q3tqkBum6k7g,Gen G Clid,1296,976,806,True,False,False,False
CHALLENGER,7x9Pf5z55OBEMQWqpzZaJJPTDTZ9i8B0bXS017koZLhW9_4,MIDKlNG,1286,460,352,True,False,False,True
CHALLENGER,zcsVBniqBliNSYzK72ge45VUWLV4LeySVqPwbacIV1i3aCs,기찮게하지마,1279,347,268,True,False,False,False
CHALLENGER,VpBw1B7mgLaslMTje5CHcrBVvFGyNF4LPpVmWxgw6IDK1Sc,Gen G Kellin,1274,731,603,True,False,False,False
CHALLENGER,I52hxNSdXtEOINwVRGM5rS8br2XcuP62xk0ABv_08ZnK2Jc,T1 Cannaa,1271,870,749,True,False,False,False
CHALLENGER,jNBadeXnc73XFmK8rqbqd2lvcFq5slkOBHk2w0iCF3k6aZY,T1 GGGori,1260,450,373,True,False,False,True
CHALLENGER,Gs4jN9RLMz9dp9I92VQgUesAF51E_ukBylYBPJp-5MR517M,blesss,1250,1162,1085,True,False,False,True
CHALLENGER,1suaD4Z8sGOM8vNopxpCBlAl_pYCpIOzRHHxIvNZWaaTYZs,한푸카오멩데,1250,668,604,True,False,False,True
CHALLENGER,8VKnwAKXEBborvBpX8C9hTr-QnVjBVzvDSqBmRvsXIadVtE,KT Aming,1249,475,377,True,False,False,True
CHALLENGER,IjHxUu7wG_EnLYSts6LewMBcBbuo8CJa-q3hOy8JkPX8kMw,타 잔,1232,423,324,False,False,True,False
CHALLENGER,fQU2YwFE4X1NK35r44IWvnlhCBj6VVo3e3MrQZEASIfytbw,DRX Keria,1232,1102,825,True,False,False,False
CHALLENGER,i-wxSgB4MJwbQeW7x0T4lV_gmTk5jnbp2Rgi0ZCY3dpO6NQ,아창란o식물,1232,438,349,True,False,False,False
CHALLENGER,Zv96Km-8p_e98MYxCIcSd8gKCBxgQxZd3wKnnrX9Jk_D078,TESzhaoren304480,1227,936,848,True,False,False,False
CHALLENGER,IPDrzrwOR_2Cr3jAqYJrFkTi7HhdXsvqaz1SUKQhgopyvyk,UrnTi,1225,278,232,True,False,False,False
